原始題目	標準答案	GPT3_OE	TF_GPT3_OE	GPT3_step	TF_GPT3_step	GPT3_explain	human_GPT3_explain	TF_GPT3_explain	GPT3.5_OE	TF_GPT3.5_OE	GPT3.5_step	TF_GPT3.5_step	GPT3.5_explain	human_GPT3.5_explain	TF_GPT3.5_explain	GPT4_OE	TF_GPT4_OE	GPT4_step	TF_GPT4_step	GPT4_explain	human_GPT4_explain	TF_GPT4_explain	Bloom題型	Webb’s Depth-of- Knowledge Levels	mcq_single	mcq_ClinicalVignette	mcq_negative	BloomGPT4_Clean_Arr[0]	BloomGPT4_Clean_Arr[1]	WebbGPT4_Clean_Arr[0]	WebbGPT4_Clean_Arr[1]	BloomGPT3.5_Clean_Arr[0]	BloomGPT3.5_Clean_Arr[1]	WebbGPT3.5_Clean_Arr[0]	WebbGPT3.5_Clean_Arr[1]	BloomGPT3.5_Clean	BloomGPT4_Clean	WebbGPT3.5_Clean	WebbGPT4_Clean	test_subject
"下列何者不是皮膚表皮（epidermis）的細胞層？
A基底層（stratum basale）
B棘狀層（stratum spinosum）
C層（stratum granulosum） 
D網狀層（reticular layer）"	D	D網狀層（reticular layer）	o	".

D網狀層（reticular layer）"	o	"A 基底層（stratum basale）：基底層是皮膚表皮的最底層，由一層活躍的細胞組成，負責新陳代謝和再生。

B 棘狀層（stratum spinosum）：棘狀層是皮膚表皮的第二層，由許多棘狀細胞組成，負責保護皮膚免受外來傷害。

C 層（stratum granulosum）：層是皮膚表皮的第三層，由許多粒狀細胞組成，負責製造角質層，保護皮膚免受外來傷害。

D 網狀層（reticular layer）：網狀層是皮膚表皮的最上層，由許多細胞組成，負責保護皮膚免受外來傷害，並提供光滑的外觀。"	?	x	D網狀層（reticular layer）不是皮膚表皮的細胞層，它是皮膚真皮層（dermis）的一個層次。	o	D網狀層（reticular layer）	o	"D網狀層（reticular layer）不是皮膚表皮的細胞層，它是皮膚真皮層（dermis）的一個層次，位於真皮層的下方，由膠原纖維和彈性纖維組成，提供皮膚的支撐和彈性。 

A基底層（stratum basale）是皮膚表皮最底層的細胞層，包含有幹細胞和色素細胞，能夠不斷分裂和更新上層細胞，同時產生黑色素，使皮膚有色澤。

B棘狀層（stratum spinosum）是皮膚表皮的第二層細胞層，由多層細胞組成，細胞間有突起相互連接，形成棘狀細胞，提供皮膚的強度和彈性。

C層（stratum granulosum）是皮膚表皮的第三層細胞層，由幾層扁平的細胞組成，含有角質顆粒，能夠釋放出角質蛋白，使皮膚變得堅硬和防水。"	?	x	D網狀層（reticular layer）	o	D網狀層（reticular layer）	o	"A基底層（stratum basale）：基底層是表皮最底層，由一層立方形或柱狀的基底細胞組成，並且與真皮層相接。基底細胞通過不斷的分裂和增生來補充表皮上層的細胞。

B棘狀層（stratum spinosum）：棘狀層位於基底層之上，由多層角化鱗狀細胞組成。這些細胞表面有細胞間橋相連，形成棘狀結構。棘狀層有助於增強皮膚的抵抗力和修復能力。

C層（stratum granulosum）：顆粒層位於棘狀層之上，由平扁的多角形細胞組成。這些細胞中含有豐富的顆粒物質，如角蛋白和脂質，有助於皮膚的角化過程和屏障功能。

D網狀層（reticular layer）：網狀層位於皮膚的真皮層（dermis）中，而非表皮層。網狀層由網狀結構的膠原纖維和彈性纖維組成，提供了皮膚的彈性和支撐。

因此，答案是D網狀層（reticular layer），因為它屬於皮膚的真皮層，而非表皮層。"	D	o	Recall	1	1	0	0	4	Analyzing	1	Recall	1	Remembering	1	Recall	1|Remembering	4|Analyzing	1|Recall	1|Recall	基礎醫學
"心尖的位置約在左鎖骨中線與第幾肋間的交會處？
A第3 肋間
B第5 肋間
C第7 肋間
D第9 肋間"	B	B第5 肋間	o	A第3 肋間	x	"A第3肋間：左鎖骨中線與第3肋間的交會處是心尖的位置。
B第5肋間：左鎖骨中線與第5肋間的交會處並不是心尖的位置。
C第7肋間：左鎖骨中線與第7肋間的交會處並不是心尖的位置。
D第9肋間：左鎖骨中線與第9肋間的交會處並不是心尖的位置。"	A	x	B第5肋間	o	B	o	"A. 第3肋間：表示心尖的位置約在左鎖骨中線與第3肋間的交會處。
B. 第5肋間：表示心尖的位置約在左鎖骨中線與第5肋間的交會處。
C. 第7肋間：表示心尖的位置約在左鎖骨中線與第7肋間的交會處。
D. 第9肋間：表示心尖的位置約在左鎖骨中線與第9肋間的交會處。"	?	x	B第5 肋間	o	B第5 肋間	o	"A第3肋間: 第三肋間是指位於第二和第三肋骨之間的空間，此處並非心尖的位置。

B第5肋間: 第五肋間是指位於第四和第五肋骨之間的空間，心尖正位於左鎖骨中線與第五肋間的交會處。

C第7肋間: 第七肋間是指位於第六和第七肋骨之間的空間，此處過低，不是心尖的位置。

D第9肋間: 第九肋間是指位於第八和第九肋骨之間的空間，此處更低，也不是心尖的位置。

綜上所述，心尖的位置約在左鎖骨中線與第五肋間的交會處。因此答案為 B 第五肋間。"	B	o	Recall	1	1	0	0	1	Remembering	1	Recall	1	Remembering	1	Recall	1|Remembering	1|Remembering	1|Recall	1|Recall	基礎醫學
" 血球的生命週期，下列何者最長？
A紅血球
B血小板
C嗜中性球
D嗜鹼性球"	A	A紅血球	o	A 紅血球	o	"A紅血球：紅血球的生命週期約為120天，是所有血球中最長的。
B血小板：血小板的生命週期約為10天，比紅血球短，但比其他血球還要長。
C嗜中性球：嗜中性球的生命週期約為1-2天，是所有血球中最短的。
D嗜鹼性球：嗜鹼性球的生命週期約為1-2天，與嗜中性球一樣短。"	A	o	A紅血球的生命週期最長，約為120天。	o	A紅血球	o	"A紅血球：紅血球的生命週期約為120天左右，屬於較長的血球壽命。

B血小板：血小板的生命週期約為7-10天，屬於較短的血球壽命。

C嗜中性球：嗜中性球是一種白血球，其生命週期約為數小時至幾天不等，屬於較短的血球壽命。

D嗜鹼性球：嗜鹼性球也是一種白血球，其生命週期約為幾小時至幾天不等，屬於較短的血球壽命。"	A	o	A紅血球	o	A紅血球	o	"A: 紅血球 (Red Blood Cells, RBC): 紅血球主要功能是運送氧氣和二氧化碳在肺和細胞之間。紅血球的生命週期大約為120天，屬於生命週期最長的血球之一。

B: 血小板 (Platelets): 血小板的主要功能是幫助形成凝血塊，以防止出血和傷口感染。血小板的生命週期大約為7到10天。

C: 嗜中性球 (Neutrophils): 是一種白血球，主要功能是抵禦感染，尤其是細菌感染。嗜中性球的壽命比較短，通常在1-3天之間。

D: 嗜鹼性球 (Eosinophils): 同樣是一種白血球，主要作用是抵抗寄生蟲感染以及參與過敏反應。嗜鹼性球的生命週期為大約8到12天。

綜合比較以上四種血球類型，紅血球具有最長的生命週期，約為120天。"	A	o	Basic Application of Skill/Concept	1	1	0	0	1	Remembering	2	Basic Application of Skill/Concept	1	Remembering	1	Recall	1|Remembering	1|Remembering	1|Recall	2|Basic Application of Skill/Concept	基礎醫學
"睪丸主要負責產生精子，是下列那一構造？
A睪丸網（rete testis） 
B直管（straight tubule）
C輸出小管（efferent ductule） 
D曲細精管（seminiferous tubule）"	D	D曲細精管（seminiferous tubule）	o	".

D曲細精管（seminiferous tubule）"	o	"答案：D曲細精管（seminiferous tubule）

睪丸網（rete testis）是一種網狀結構，由曲細精管（seminiferous tubule）構成，負責將精子從睪丸輸送到輸出小管（efferent ductule）。直管（straight tubule）是一種管狀結構，由輸出小管（efferent ductule）構成，負責將精子從睪丸輸送到精索（vas deferens）。"	D	o	D曲細精管（seminiferous tubule）	o	D曲細精管（seminiferous tubule）	o	"A. 睪丸網（rete testis）：是一個網狀結構，位於睪丸的中央，是精子從曲細精管進入輸出小管的通道。

B. 直管（straight tubule）：是曲細精管的延伸，將精子從曲細精管輸送到睪丸網。

C. 輸出小管（efferent ductule）：是從睪丸網輸送精子到附睾的管道。

D. 曲細精管（seminiferous tubule）：是睪丸中最重要的結構，是精子的產生地點，由精原細胞分裂和分化產生精子。"	D	o	D曲細精管（seminiferous tubule）	o	D曲細精管（seminiferous tubule）	o	"A. 睪丸網（rete testis）: 是一個位於睪丸內部的組織，由多個不規則形狀的腔隙組成，負責對曲細精管內產生的精子進行收集和運輸。

B. 直管（straight tubule）: 又稱殖精腺小管，是曲細精管與睪丸網之間的過渡部分，它將曲細精管內產生的未成熟精子運輸到睪丸網進行進一步的成熟。

C. 輸出小管（efferent ductule）: 位於睪丸網與輸精管之間，負責將睪丸網內的精子運輸到輸精管，並在過程中對精子進行濃縮。

D. 曲細精管（seminiferous tubule）: 是睪丸內最重要的構造，由一個起始於睪丸邊緣，靠內折返延伸形成的盤狀結構組成，其內有生殖上皮，主要負責精子的生成與發育。

綜上所述，睪丸主要負責產生精子，其最重要的構造是D. 曲細精管（seminiferous tubule）。"	D	o	Recall	1	1	0	0	1	Remembering	1	Recall	1	Remembering	1	Recall	1|Remembering	1|Remembering	1|Recall	1|Recall	基礎醫學
"腎小體（renal corpuscle）的過濾膜（filtration membrane），不含下列那一構造？
A腎絲球血管的內皮（glomerular endothelium）
B腎絲球的基底膜（basal membrance of glomerulus）
C鮑氏囊的壁層（parietal layer of Bowman’s capsule）
D鮑氏囊的臟層（visceral layer of Bowman’s capsule）"	C	C鮑氏囊的壁層（parietal layer of Bowman’s capsule）	o	A腎絲球血管的內皮（glomerular endothelium）	x	"A腎絲球血管的內皮（glomerular endothelium）：腎絲球血管的內皮是一種細胞層，它位於腎絲球血管的內部，由一層細胞組成，負責控制血液流入腎絲球。

B腎絲球的基底膜（basal membrance of glomerulus）：腎絲球的基底膜是一種膜，它位於腎絲球血管的內部，由多層細胞組成，負責控制血液流入腎絲球。

C鮑氏囊的壁層（parietal layer of Bowman’s capsule）：鮑氏囊的壁層是一種細胞層，它位於鮑氏囊的外部，由一層細胞組成，負責控制血液流入腎絲球。

D鮑氏囊的臟層（visceral layer of Bowman’s capsule）：鮑氏囊的臟層是一種細胞層，它位於鮑氏囊的內"	?	x	C鮑氏囊的壁層（parietal layer of Bowman’s capsule）	o	C鮑氏囊的壁層（parietal layer of Bowman’s capsule）	o	"A. 腎絲球血管的內皮（glomerular endothelium）：腎絲球血管的內皮是過濾膜的一部分，它具有孔隙，可以讓血漿中的水和小分子通過，但不會讓血細胞和大分子通過。

B. 腎絲球的基底膜（basal membrance of glomerulus）：腎絲球的基底膜是過濾膜的一部分，它由多種分子組成，包括膠原蛋白、糖蛋白和類固醇等，可以選擇性地過濾血漿中的分子。

C. 鮑氏囊的壁層（parietal layer of Bowman’s capsule）：鮑氏囊的壁層是腎小體的一部分，它由一層扁平的上皮細胞組成，包裹著腎小體。

D. 鮑氏囊的臟層（visceral layer of Bowman’s capsule）：鮑氏囊的臟層是腎小體的一部分，它由一層特殊的上皮細胞——足細胞（podocyte）組成，足細胞之間形成的孔隙是過濾膜的最終屏障，可以選擇性地過濾血漿中的分子。"	?	x	C鮑氏囊的壁層（parietal layer of Bowman’s capsule）	o	"C鮑氏囊的壁層（parietal layer of Bowman’s capsule）
"	o	"A腎絲球血管的內皮（glomerular endothelium）:
腎絲球血管的內皮是過濾膜的一部分，它是一層具有許多孔洞的細胞，允許水分和過濾物穿過，但阻止大分子和細胞穿過。

B腎絲球的基底膜（basal membrance of glomerulus）:
腎絲球的基底膜位於腎絲球內皮和鮑氏囊臟層細胞之間。它是一層緻密的纖維素蛋白物質，起到一個擔保過濾小分子並阻止大分子通過的作用。

D鮑氏囊的臟層（visceral layer of Bowman’s capsule）:
鮑氏囊的臟層由臟層鱗狀細胞（podocytes）構成，這些細胞上有細而密集的足突，環繞在腎絲球血管基底膜上。這些足突彼此間留有縫隙（filtration slits），作為額外的過濾屏障。

C鮑氏囊的壁層（parietal layer of Bowman’s capsule）:
鮑氏囊的壁層是過濾膜的唯一不包括在內的組件。它是由單層扁平細胞（simple squamous epithelium）組成，與鮑氏囊的臟層分開。其主要功能是維持囊狀結構，但它並不直接參與過濾過程。

正確答案是C，因為鮑氏囊的壁層並不包含在過濾膜中。過濾膜主要包括腎絲球血管的內皮、腎絲球的基底膜和鮑氏囊的臟層。"	C	o	Basic Application of Skill/Concept	1	1	0	1	1	Remembering	2	Basic Application of Skill/Concept	1	Remembering	1	Recall	1|Remembering	1|Remembering	1|Recall	2|Basic Application of Skill/Concept	基礎醫學
"消化道的奧氏神經叢（Auerbach’s plexus），主要位於下列何處？
A黏膜層
B黏膜下層
C肌肉層
D漿膜層"	C	C肌肉層	o	A黏膜層	x	Auerbach's plexus is located in the mucosal layer of the digestive tract. This layer is composed of epithelial cells and is the innermost layer of the digestive tract. It is responsible for secreting mucus and other substances that help to lubricate and protect the digestive tract. The plexus is composed of a network of nerve fibers that help to regulate the digestive process.	?	x	C肌肉層。	o	C肌肉層	o	"A黏膜層：消化道的黏膜層是由上皮?胞、黏液?胞、腺体?胞和基底?胞?成的。它主要??分泌黏液和消化?，以?助消化和吸收食物。

B黏膜下?：消化道的黏膜下?是由????、平滑肌和神????成的。它主要??支持和保?黏膜?，并提供血液和??物?。

C肌肉?：消化道的肌肉?是由??肌和外?肌?成的。它主要??推?食物通?消化道，并?行机械消化。

D漿膜層：消化道的漿膜層是由????和腺体?成的。它主要??分泌黏液和消化?，以?助消化和吸收食物，并提供保?和支持。"	?	x	C肌肉層	o	C肌肉層	o	"Auerbach's plexus, also known as the myenteric plexus, is an important part of the enteric nervous system located between the smooth muscle layers of the gastrointestinal (GI) tract.

A. 黏膜層 (Mucosa layer) - This is the innermost layer of the GI tract, which is in direct contact with the food being digested. It mainly consists of epithelial cells, a thin layer of connective tissue, and a layer of smooth muscle.

B. 黏膜下層 (Submucosa layer) - This layer is located just beneath the mucosa and consists of dense connective tissue, blood vessels, and nerves, including the submucosal plexus (Meissner's plexus) which is another part of the enteric nervous system.

C. 肌肉層 (Muscular layer) - This layer is composed of two layers of smooth muscle: an inner circular layer and an outer longitudinal layer. It is responsible for the peristaltic movements of the GI tract. The Auerbach's plexus is located between these two layers, which allows it to control and coordinate the muscle contractions.

D. 漿膜層 (Serosa layer) - This is the outermost layer of the GI tract, consisting of a thin layer of simple squamous epithelium and connective tissue, and it supports and protects the other layers.

So, the correct answer is C肌肉層 (Muscular layer)."	C	o	Recall	1	1	0	0	1	Remembering	1	Recall	1	Remembering	1	Recall	1|Remembering	1|Remembering	1|Recall	1|Recall	基礎醫學
"橫結腸不具下列何種構造？
A腸脂垂
B縱走之肌肉帶
C結腸袋
D小網膜"	D	B縱走之肌肉帶	x	A 腸脂垂	x	"A腸脂垂：腸脂垂是一種構造，它是一個沿著腸道的柔軟的結構，可以支撐腸道的內壁，並提供支撐和支持。

B縱走之肌肉帶：縱走之肌肉帶是一種構造，它是一種沿著腸道的肌肉帶，可以支撐腸道的內壁，並提供支撐和支持。

C結腸袋：結腸袋是一種構造，它是一個沿著腸道的袋狀結構，可以收集和保存消化過程中的液體和固體物質。

D小網膜：小網膜是一種構造，它是一個沿著腸道的網狀結構，可以支撐腸道的內壁，並提供支撐和支持。"	?	x	B縱走之肌肉帶	x	B縱走之肌肉帶	x	"A. 腸脂垂：是指在結腸上方的脂肪組織，可以保護腸道和提供支持。

B. 縱走之肌肉帶：是指結腸壁上的肌肉層，可以幫助腸道進行蠕動，促進食物消化和排泄。

C. 結腸袋：是指橫結腸上方的擴張部分，可以暫時儲存食物和水分，並進行吸收和排泄。

D. 小網膜：是指腸道周圍的膜組織，可以保護腸道和提供支持，同時還可以幫助腸道進行運動和排泄。"	?	x	B縱走之肌肉帶	x	D小網膜	o	"A腸脂垂 (appendix epiploicae): 腸脂垂是結腸和直腸表面上的小脂肪組織突起。它們是脂肪組織的固定機構，可以在結腸的蠕動過程中充當支撐和緩衝作用。

B縱走之肌肉帶 (taenia coli): 是結腸表面三條縱行的平滑肌束，它們在前後方向沿腸管進行收縮，幫助糞便通過腸道。在一些地方，肌肉帶融合在一起形成圍繞結腸徑的整個肌層。

C結腸袋 (haustra coli): 是結腸表面的排列整齊的腸袋，由於縱走之肌肉帶的作用使其形成如環繞屏障的外觀。結腸袋有助於推動糞便穩定地通過腸道。

D小網膜 (lesser omentum): 是將掛在消化道大部分結構的兩層薄膜懸韌帶(omentum)之一。小網膜位於胃與肝之間，有助於支撐胃，也提供含血管、淋巴結和神經的結構通道。它與橫結腸無關。

所以，橫結腸不具下列何種構造：D小網膜。"	D	o	Basic Application of Skill/Concept	1	1	0	1	1	Remembering	1	Recall	1	Remembering	1	Recall	1|Remembering	1|Remembering	1|Recall	1|Recall	基礎醫學
"股神經（femoral nerve）受損，最可能發生下列何種情形？
A大腿內收功能不全
B膝反射消失
C男性陰莖皮膚感覺消失
D足無法外翻"	B	C男性陰莖皮膚感覺消失	x	".

B膝反射消失"	o	"A：大腿內收功能不全是由於股神經受損而導致的，因為股神經控制股四頭肌的收縮，使得大腿內收功能受損。
B：膝反射消失是由於股神經受損而導致的，因為股神經控制膝反射，使得膝反射消失。
C：男性陰莖皮膚感覺消失是由於股神經受損而導致的，因為股神經控制陰莖皮膚的感覺，使得男性陰莖皮膚感覺消失。
D：足無法外翻是由於股神經受損而導致的，因為股神經控制腓腸肌的收縮，使得足無法外翻。"	?	x	A大腿內收功能不全	x	A	x	"A. 大腿內收功能不全：股神經是大腿內收肌肉的主要神經，如果受損，可能會導致大腿內收功能不全。

B. 膝反射消失：股神經是膝反射的主要神經，如果受損，可能會導致膝反射消失。

C. 男性陰莖皮膚感覺消失：股神經分支到陰部，如果受損，可能會導致男性陰莖皮膚感覺消失。

D. 足無法外翻：足外翻肌肉是由腓腹肌神經支配的，但是股神經也會對足外翻肌肉有一定的支配作用，如果股神經受損，可能會導致足無法外翻。"	?	x	B膝反射消失	o	B膝反射消失	o	"A大腿內收功能不全 - 不太可能，因為股神經主要操控大腿的伸骨肌群（quadriceps），而內收肌群主要由閹器神經（obturator nerve）支配。

B膝反射消失 - 可能，股神經支配大腿的伸骨肌群（quadriceps），這些肌肉對膝反射有直接影響。如果股神經受損，膝反射可能會減弱或消失。

C男性陰莖皮膚感覺消失 - 不太可能，陰莖皮膚感覺主要由陰部神經（pudendal nerve）支配，與股神經無直接關係。

D足無法外翻 - 不太可能，足部的外翻動作主要由腓腸神經（peroneal nerve）支配，與股神經無直接關係。

綜上所述，股神經受損最可能出現的情況是 B 膝反射消失。"	B	o	Basic Application of Skill/Concept	1	1	0	0	3	Applying	2	Basic Application of Skill/Concept	2	Understanding	1	Recall	2|Understanding	3|Applying	1|Recall	2|Basic Application of Skill/Concept	基礎醫學
"有關骨骼肌與心肌收縮的比較，下列敘述何者正確？
A兩者都是透過橫小管來傳導動作電位
B兩者的收縮速度都很慢
C骨骼肌與心肌一樣，肌纖維長度越長，收縮時產生的張力就越大
D單一骨骼肌纖維與心肌纖維一樣，都是刺激頻率越高，產生的張力就越大"	A	A	o	".

A兩者都是透過橫小管來傳導動作電位"	o	"A兩者都是透過橫小管來傳導動作電位：這是正確的。骨骼肌與心肌都是透過橫小管來傳導動作電位，以調節肌肉收縮。

B兩者的收縮速度都很慢：這是錯誤的。骨骼肌的收縮速度比心肌快得多，因為它們的收縮受到神經刺激的影響，而心肌的收縮受到心臟自身的自發性刺激。

C骨骼肌與心肌一樣，肌纖維長度越長，收縮時產生的張力就越大：這是正確的。肌纖維長度越長，收縮時產生的張力就越大，這是骨骼肌與心肌的共同特徵。

D單一骨骼肌纖維與心肌纖維一樣，都是刺激頻率越高，產生的"	AC	x	D單一骨骼肌纖維與心肌纖維一樣，都是刺激頻率越高，產生的張力就越大。	x	C	x	"A. 正確。骨骼肌和心肌都是透過橫小管（T管）來傳導動作電位，使鈣離子釋放到肌纖維中，從而引起肌肉收縮。

B. 不正確。骨骼肌和心肌的收縮速度不同。骨骼肌收縮速度較快，而心肌收縮速度較慢。

C. 不正確。骨骼肌和心肌的收縮機制不同，因此肌纖維長度對於產生的張力影響也不同。骨骼肌在肌纖維長度適中時產生的張力最大，而心肌則是在肌纖維長度較短時產生的張力最大。

D. 不正確。骨骼肌和心肌的刺激頻率對產生的張力影響也不同。骨骼肌在刺激頻率越高時產生的張力越大，而心肌則是在刺激頻率較低時產生的張力最大。這是因為心肌有一個自主節律性，不需要外部刺激就能自行產生收縮。"	A	o	A兩者都是透過橫小管來傳導動作電位	o	A兩者都是透過橫小管來傳導動作電位	o	"A兩者都是透過橫小管來傳導動作電位 - 正確。
橫小管（T-tubule）是一種細管，用於傳遞動作電位。在骨骼肌和心肌中，橫小管確保動作電位能快速地傳遞到每個肌原纖維，有效地觸發肌肉收縮。

B兩者的收縮速度都很慢 - 不正確。
骨骼肌有快收縮肌纖維和慢收縮肌纖維，快收縮肌纖維收縮速度較慢的心肌快。心肌具有中等速度的收縮能力。它比骨骼肌的快收縮肌纖維慢，但比慢收縮肌纖維快。

C骨骼肌與心肌一樣，肌纖維長度越長，收縮時產生的張力就越大 - 不完全正確。
在心肌中，肌纖維的預伸長度確實影響收縮時產生的張力，這被稱為弗蘭克-星林律。在骨骼肌中，肌纖維長度與產生的張力之間大致呈現正相關，但實際情況可能取決於骨骼肌的種類和功能。

D單一骨骼肌纖維與心肌纖維一樣，都是刺激頻率越高，產生的張力就越大 - 不正確。
對於心肌而言，刺激的頻率越高，其產生的張力確實會增加，這種現象被稱為圖波增強。然而，單一骨骼肌纖維在處於不同頻率的刺激下可能產生不同張力，而大多數骨骼肌的刺激頻率與張力之間的關係並不是線性的。

綜合以上各項，正確答案是A兩者都是透過橫小管來傳導動作電位。"	A	o	Basic Application of Skill/Concept	1	1	0	0	2	Understanding	3	Strategic Thinking	4	Analyzing	3	Strategic Thinking	4|Analyzing	2|Understanding	3|Strategic Thinking	3|Strategic Thinking	基礎醫學
"基底核（basal nuclei）功能受損或退化的症狀，下列何者最有關？
A阿茲海默症
B帕金森氏症
C失語症
D嗅覺喪失"	B	B帕金森氏症	o	B帕金森氏症	o	"A阿茲海默症：阿茲海默症是一種常見的神經退化性疾病，它可能會導致基底核功能受損或退化，導致記憶力下降、語言能力受損、行為和情緒變化等症狀。

B帕金森氏症：帕金森氏症是一種常見的運動障礙，它可能會導致基底核功能受損或退化，導致肌肉僵硬、動作遲緩、平衡和協調能力受損等症狀。

C失語症：失語症是一種常見的語言障礙，它可能會導致基底核功能受損或退化，導致語言能力受損、記憶力下降、行為和情緒變化等症狀。

D嗅覺喪失：嗅覺喪失並不會導致基底核功能受損或"	?	x	B帕金森氏症	o	B帕金森氏症	o	"A. 阿茲海默症（Alzheimer's disease）是一種神經退化性疾病，主要影響大腦皮質區域，而非基底核。因此，與基底核功能受損或退化的症狀關聯性較低。

B. 帕金森氏症（Parkinson's disease）是一種神經退行性疾病，主要影響基底核區域，導致運動控制障礙、肌肉僵硬、顫抖等症狀。因此，基底核功能受損或退化的症狀與帕金森氏症密切相關。

C. 失語症（aphasia）是一種語言障礙，主要由大腦左側語言區域受損或退化引起，與基底核功能受損或退化的症狀關聯性較低。

D. 嗅覺喪失（anosmia）是一種嗅覺功能障礙，主要由嗅覺神經受損或退化引起，與基底核功能受損或退化的症狀關聯性較低。"	B	o	B帕金森氏症	o	B帕金森氏症	o	"A. 阿茲海默症 (Alzheimer's Disease) - 一種常見的神經性退化疾病，主要特徵為記憶力和認知能力逐漸下降。雖然它與基底核的功能有一定的關聯，但基底核退化並非該症狀的主要原因，主要原因是由於大腦皮質中的神經細胞逐漸減少。

B. 帕金森氏症 (Parkinson's Disease) - 一種逐漸進展的神經性退化疾病，主要影響運動系統，導致患者的運動能力逐漸受限。基底核是調節運動的重要區域，當基底核功能受損時，將導致帕金森氏症的出現。

C. 失語症 (Aphasia) - 是語言功能的損害，可能表現為理解、表達或找詞語困難等。失語症與大腦的語言區有關，主要包括布洛卡區 (Broca's area) 和維尼克區 (Wernicke's area)，與基底核功能的關聯較小。

D. 嗅覺喪失 (Anosmia) - 由于嗅覺細胞受損或進一步的神經通路受損而導致嗅覺喪失。嗅覺喪失與嗅覺神經和嗅覺皮質有關，與基底核功能受損的關聯較小。

因此，與基底核功能受損或退化最有關的症狀是 B. 帕金森氏症。"	B	o	Basic Application of Skill/Concept	1	1	0	0	4	Analyzing	2	Basic Application of Skill/Concept	4	Analyzing	2	Basic Application of Skill/Concept	4|Analyzing	4|Analyzing	2|Basic Application of Skill/Concept	2|Basic Application of Skill/Concept	基礎醫學
"有關促進睪固酮分泌之敘述，下列何者正確？
A濾泡刺激素（FSH）直接作用於萊氏細胞（Leydig cell）
B黃體刺激素（LH）直接作用於賽氏細胞（Sertoli cell）
C促性腺素釋放激素（GnRH）間接作用於萊氏細胞（Leydig cell）
D抑制素（inhibin）間接作用於賽氏細胞（Sertoli cell）
"	C	C促性腺素釋放激素（GnRH）間接作用於萊氏細胞（Leydig cell）	o	C	o	"A 濾泡刺激素（FSH）是一種由垂體細胞分泌的腺垂體激素，它可以直接作用於萊氏細胞（Leydig cell），促進睪固酮（testosterone）的分泌。
B 黃體刺激素（LH）是一種由垂體細胞分泌的腺垂體激素，它可以直接作用於賽氏細胞（Sertoli cell），促進睪固酮（testosterone）的分泌。
C 促性腺素釋放激素（GnRH）是一種由下丘腦分泌的神經激素，它可以間接作用於萊氏細胞（Leydig cell），促進睪固酮（testosterone）的分泌。
D 抑制素（inhibin）是一種由賽氏細胞（Sertoli cell）分泌的蛋白質，它可以間接作用於賽氏細胞（Sertoli cell），抑制睪固"	?	x	C促性腺素釋放激素（GnRH）間接作用於萊氏細胞（Leydig cell）是正確的。GnRH會刺激下視丘釋放促性腺激素（gonadotropin），進而刺激LH和FSH的分泌。LH會直接作用於萊氏細胞，刺激睪固酮的分泌。而FSH則會作用於賽氏細胞，促進精子的生產。抑制素則是由賽氏細胞和類固醇激素共同調節睪固酮和精子的產生。	o	C促性腺素釋放激素（GnRH）間接作用於萊氏細胞（Leydig cell）	o	"A. 濾泡刺激素（FSH）直接作用於萊氏細胞（Leydig cell）：這個敘述是不正確的。FSH主要作用於賽氏細胞，刺激精子的生產和成熟。萊氏細胞則是受到黃體刺激素（LH）的刺激，分泌睪固酮。

B. 黃體刺激素（LH）直接作用於賽氏細胞（Sertoli cell）：這個敘述是不正確的。LH主要作用於萊氏細胞，刺激睪固酮的分泌。賽氏細胞則是受到FSH的刺激，促進精子的生產和成熟。

C. 促性腺素釋放激素（GnRH）間接作用於萊氏細胞（Leydig cell）：這個敘述是正確的。GnRH是由下視丘釋放的激素，刺激垂體前葉釋放LH和FSH，進而刺激睪固酮的分泌。

D. 抑制素（inhibin）間接作用於賽氏細胞（Sertoli cell）：這個敘述是正確的。賽氏細胞分泌抑制素，可以抑制FSH的分泌，進而調節精子的生產和成熟。"	CD	x	C促性腺素釋放激素（GnRH）間接作用於萊氏細胞（Leydig cell）	o	C促性腺素釋放激素（GnRH）間接作用於萊氏細胞（Leydig cell）	o	"A濾泡刺激素（FSH）直接作用於萊氏細胞（Leydig cell）
這個敘述是錯誤的。濾泡刺激素（FSH）的主要作用是刺激卵巢中的濾泡發育，以及刺激雄性生殖系統中的賽氏細胞（Sertoli cell），而非直接作用於萊氏細胞（Leydig cell）。

B黃體刺激素（LH）直接作用於賽氏細胞（Sertoli cell）
這個敘述也是錯誤的。黃體刺激素（LH）主要功能是促進睪固酮的分泌，它與萊氏細胞（Leydig cell）有直接作用，而非賽氏細胞（Sertoli cell）。

C促性腺素釋放激素（GnRH）間接作用於萊氏細胞（Leydig cell）
這個敘述是正確的。促性腺素釋放激素（GnRH）通過刺激腺垂體釋放黃體刺激素（LH），從而間接地作用於萊氏細胞（Leydig cell）以促進睪固酮的分泌。

D抑制素（inhibin）間接作用於賽氏細胞（Sertoli cell）
這個敘述是錯誤的。抑制素（inhibin）主要作用是抑制腺垂體分泌濾泡刺激素（FSH），而不是作用於賽氏細胞（Sertoli cell）。"	C	o	Basic Application of Skill/Concept	1	1	0	0	1	Remembering	1	Recall	2	Understanding	3	Strategic Thinking	2|Understanding	1|Remembering	3|Strategic Thinking	1|Recall	基礎醫學
